superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label
307,-78,-76,-80,-100,-67,-75,-54,-62,-64,-72,2
308,-77,-76,-80,-100,-67,-75,-53,-62,-64,-72,2
309,-77,-76,-80,-100,-66,-74,-53,-61,-64,-72,2
310,-77,-76,-80,-100,-68,-74,-54,-62,-64,-71,2
311,-77,-76,-80,-100,-67,-74,-54,-61,-64,-72,2
312,-77,-76,-80,-100,-67,-75,-53,-62,-64,-72,2
313,-77,-76,-80,-100,-67,-74,-53,-61,-64,-71,2
314,-77,-77,-79,-100,-67,-75,-54,-62,-64,-100,2
315,-77,-76,-80,-100,-67,-74,-53,-61,-64,-100,2
316,-77,-76,-100,-100,-66,-75,-54,-61,-64,-100,2
317,-77,-76,-100,-100,-66,-74,-53,-61,-64,-100,2
318,-77,-77,-100,-100,-67,-75,-53,-61,-64,-100,2
319,-78,-76,-100,-100,-67,-75,-53,-61,-64,-100,2
320,-77,-77,-100,-100,-67,-75,-54,-61,-63,-100,2
321,-77,-76,-80,-100,-66,-74,-53,-61,-64,-100,2
322,-77,-77,-80,-100,-67,-75,-53,-61,-64,-73,2
323,-77,-77,-80,-100,-67,-75,-54,-62,-64,-71,2
324,-77,-77,-80,-100,-66,-75,-54,-61,-63,-72,2
325,-77,-76,-80,-100,-66,-75,-52,-62,-63,-72,2
326,-77,-76,-80,-100,-67,-75,-54,-61,-64,-72,2
327,-76,-76,-80,-90,-67,-74,-54,-62,-64,-71,2
328,-77,-76,-79,-100,-67,-74,-53,-62,-63,-72,2
329,-77,-76,-79,-100,-67,-75,-53,-62,-64,-72,2
330,-76,-76,-80,-100,-67,-74,-53,-61,-64,-71,2
331,-76,-76,-80,-100,-67,-75,-53,-62,-64,-71,2
332,-76,-76,-80,-100,-67,-74,-53,-61,-63,-73,2
333,-76,-76,-80,-100,-67,-75,-54,-62,-64,-71,2
334,-77,-76,-81,-100,-67,-74,-53,-61,-63,-72,2
335,-77,-76,-80,-100,-67,-75,-53,-61,-63,-72,2
336,-77,-76,-80,-100,-67,-75,-53,-61,-63,-72,2
337,-77,-76,-80,-100,-67,-75,-54,-61,-63,-71,2
338,-100,-100,-100,-100,-100,-100,-53,-61,-63,-71,2
339,-77,-76,-80,-100,-67,-76,-53,-62,-63,-72,2
340,-77,-76,-80,-100,-67,-76,-53,-62,-63,-71,2
341,-77,-76,-80,-100,-67,-76,-54,-61,-63,-72,2
342,-77,-76,-80,-100,-67,-75,-53,-62,-63,-72,2
343,-77,-76,-80,-100,-67,-75,-54,-61,-63,-72,2
344,-77,-76,-80,-100,-67,-75,-54,-62,-63,-71,2
345,-77,-76,-80,-100,-67,-75,-54,-61,-63,-72,2
346,-77,-76,-79,-100,-67,-76,-53,-62,-63,-71,2
347,-77,-76,-81,-100,-67,-75,-54,-61,-63,-71,2
348,-77,-77,-80,-100,-67,-75,-54,-62,-63,-71,2
349,-77,-76,-79,-100,-67,-74,-53,-62,-63,-72,2
350,-77,-76,-80,-100,-67,-76,-54,-62,-63,-71,2
351,-77,-76,-80,-100,-66,-74,-53,-61,-63,-72,2
352,-77,-76,-79,-100,-67,-76,-53,-62,-63,-72,2
