superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door
266,-72,-60,-55,-54,-69,-75,-71,-70,-65,-71,0,0
267,-67,-64,-55,-57,-79,-72,-68,-75,-68,-80,0,0
268,-77,-68,-62,-56,-68,-71,-73,-76,-71,-90,0,0
269,-81,-64,-58,-52,-77,-72,-78,-70,-77,-80,0,0
270,-74,-68,-60,-54,-70,-100,-74,-69,-70,-84,0,0
271,-73,-66,-57,-60,-70,-74,-100,-72,-76,-75,0,0
272,-77,-64,-56,-54,-72,-85,-75,-69,-72,-75,0,0
273,-76,-64,-61,-50,-73,-78,-70,-74,-75,-81,0,0
274,-100,-64,-56,-46,-77,-78,-78,-76,-70,-80,0,0
275,-80,-64,-53,-48,-75,-73,-78,-72,-76,-80,0,0
276,-79,-65,-53,-54,-72,-76,-73,-70,-75,-77,0,0
277,-72,-64,-49,-50,-87,-74,-73,-84,-71,-83,0,0
278,-71,-67,-49,-54,-82,-75,-78,-70,-73,-82,0,0
279,-76,-65,-49,-47,-75,-100,-70,-76,-70,-100,0,0
280,-85,-64,-53,-44,-70,-78,-68,-72,-69,-84,0,0
281,-85,-71,-52,-46,-79,-79,-72,-70,-71,-83,0,0
282,-81,-76,-54,-47,-83,-100,-73,-69,-75,-83,0,0
283,-78,-68,-56,-46,-83,-100,-75,-71,-73,-78,0,0
284,-82,-72,-54,-47,-80,-79,-100,-84,-82,-83,0,0
285,-100,-73,-64,-48,-76,-78,-76,-75,-78,-100,0,0
286,-82,-69,-54,-51,-78,-87,-78,-79,-68,-100,0,0
287,-79,-81,-53,-52,-84,-75,-81,-77,-75,-82,0,0
288,-74,-64,-55,-63,-79,-77,-100,-86,-77,-100,0,0
289,-100,-76,-54,-63,-86,-100,-80,-100,-79,-89,0,0
290,-79,-100,-59,-55,-79,-84,-83,-74,-100,-82,0,0
291,-79,-74,-62,-56,-86,-84,-76,-79,-76,-88,0,0
292,-75,-72,-60,-55,-78,-81,-79,-82,-76,-100,0,0
293,-100,-72,-54,-55,-84,-80,-78,-80,-77,-100,0,0
294,-73,-81,-53,-54,-81,-83,-82,-73,-86,-100,0,0
295,-76,-77,-57,-59,-80,-80,-80,-79,-76,-100,0,0
296,-79,-80,-56,-57,-85,-100,-78,-74,-77,-100,0,0
297,-75,-71,-62,-65,-83,-100,-79,-100,-80,-100,0,0
298,-81,-76,-57,-62,-79,-86,-84,-87,-76,-82,0,0
299,-72,-74,-51,-64,-90,-82,-100,-82,-80,-100,0,0
300,-75,-79,-46,-65,-84,-81,-76,-89,-78,-86,0,0
301,-80,-75,-49,-65,-83,-80,-100,-77,-78,-100,0,0
302,-84,-75,-51,-61,-100,-100,-82,-78,-100,-82,0,0
303,-86,-69,-53,-65,-80,-88,-83,-100,-78,-100,0,0
304,-81,-76,-62,-57,-84,-100,-100,-76,-80,-100,0,0
305,-78,-77,-64,-64,-100,-82,-85,-80,-78,-88,0,0
306,-82,-71,-64,-72,-85,-85,-80,-81,-100,-100,0,0
307,-79,-87,-53,-65,-87,-100,-79,-76,-100,-82,0,0
308,-74,-76,-55,-67,-89,-89,-78,-78,-85,-87,0,0
309,-77,-74,-52,-74,-100,-81,-78,-83,-82,-82,0,0
310,-73,-73,-47,-70,-82,-86,-77,-100,-75,-79,0,0
311,-79,-80,-47,-69,-100,-87,-82,-76,-72,-81,0,0
312,-90,-76,-51,-62,-87,-79,-80,-77,-76,-100,0,0
313,-79,-77,-53,-67,-84,-85,-100,-75,-100,-100,0,0
314,-80,-74,-50,-62,-83,-84,-82,-80,-82,-100,0,0
315,-73,-75,-50,-64,-100,-100,-100,-85,-77,-100,0,0
316,-77,-79,-58,-70,-82,-80,-86,-100,-78,-87,0,0
317,-79,-72,-56,-77,-90,-85,-83,-81,-81,-83,0,0
318,-81,-86,-57,-68,-84,-83,-100,-84,-83,-100,0,0
319,-76,-74,-55,-67,-81,-88,-82,-78,-80,-100,0,0
320,-75,-78,-57,-73,-100,-100,-100,-81,-77,-100,0,0
321,-87,-76,-64,-73,-100,-100,-85,-86,-81,-100,0,0
322,-75,-72,-58,-72,-84,-83,-82,-76,-73,-91,0,0
323,-79,-77,-57,-66,-75,-100,-86,-78,-100,-88,0,0
324,-79,-80,-59,-77,-86,-100,-100,-84,-89,-100,0,0
325,-83,-81,-60,-74,-80,-84,-83,-85,-80,-86,0,0
326,-80,-85,-56,-70,-100,-100,-83,-100,-85,-100,0,0
327,-87,-78,-64,-67,-100,-88,-82,-83,-77,-83,0,0
328,-81,-77,-65,-78,-100,-83,-85,-84,-84,-88,0,0
329,-84,-79,-64,-70,-87,-100,-100,-100,-100,-100,0,0
330,-100,-81,-66,-75,-100,-100,-100,-89,-100,-100,0,0
331,-84,-100,-66,-74,-100,-100,-88,-85,-86,-100,0,0
332,-80,-79,-69,-100,-100,-100,-100,-82,-84,-88,0,0
333,-81,-83,-64,-69,-100,-100,-85,-79,-76,-88,0,0
334,-78,-79,-58,-64,-84,-76,-83,-77,-78,-100,0,0
335,-74,-84,-69,-68,-81,-78,-100,-77,-73,-89,0,0
336,-82,-76,-59,-64,-80,-76,-85,-83,-74,-83,0,0
337,-85,-100,-57,-65,-85,-84,-80,-81,-72,-81,0,0
338,-75,-80,-53,-70,-76,-77,-82,-82,-84,-79,0,0
339,-78,-72,-56,-66,-84,-75,-80,-80,-86,-82,0,0
340,-75,-72,-61,-72,-87,-80,-82,-100,-88,-86,0,0
341,-72,-68,-59,-66,-85,-100,-100,-72,-79,-85,0,0
342,-82,-100,-61,-71,-84,-79,-81,-72,-77,-100,0,0
343,-74,-75,-53,-71,-100,-76,-88,-81,-81,-78,0,0
