superframe,O-DR,O-DL,O-E,O-M,I-DL,I-DR,I-E,I-T1,I-T2,I-T3,Label,raw_photosensor_door,raw_photosensor_endpos
994,-78,-60,-75,-60,-67,-67,-68,-62,-64,-78,0,0,0
995,-67,-57,-65,-60,-68,-65,-62,-62,-66,-86,0,0,0
996,-78,-60,-60,-61,-71,-66,-67,-62,-61,-78,0,0,0
997,-65,-63,-72,-62,-71,-72,-62,-63,-64,-83,0,0,0
998,-63,-60,-62,-67,-72,-67,-61,-64,-65,-76,0,0,0
999,-60,-58,-64,-67,-67,-68,-61,-66,-70,-78,0,0,0
1000,-61,-59,-60,-67,-67,-74,-65,-68,-61,-68,0,0,0
1001,-56,-55,-66,-70,-83,-76,-68,-65,-64,-71,0,0,0
1002,-79,-55,-66,-74,-65,-69,-60,-57,-75,-79,0,0,0
1003,-60,-62,-73,-67,-69,-68,-60,-58,-63,-69,0,0,0
1004,-75,-58,-68,-68,-72,-76,-60,-64,-64,-72,0,0,0
1005,-57,-64,-71,-71,-64,-78,-61,-67,-64,-72,0,0,0
1006,-73,-54,-80,-72,-59,-71,-60,-61,-69,-72,0,0,0
1007,-62,-66,-77,-69,-57,-100,-61,-58,-65,-67,0,0,0
1008,-64,-50,-76,-72,-65,-76,-100,-69,-61,-64,0,0,0
1009,-55,-52,-81,-77,-70,-59,-58,-58,-62,-67,0,0,0
1010,-70,-51,-77,-74,-59,-66,-59,-75,-62,-70,0,0,0
1011,-58,-56,-80,-72,-66,-69,-58,-62,-72,-65,0,0,0
1012,-52,-52,-76,-76,-64,-72,-64,-64,-62,-62,0,0,0
1013,-58,-70,-71,-70,-57,-66,-69,-73,-64,-74,0,0,0
1014,-62,-65,-76,-74,-57,-62,-68,-69,-57,-62,0,0,0
1015,-61,-55,-78,-71,-62,-62,-64,-60,-57,-67,0,0,0
1016,-57,-64,-77,-100,-62,-68,-68,-65,-64,-71,0,0,0
1017,-75,-61,-71,-74,-60,-70,-66,-73,-64,-68,0,0,0
1018,-71,-73,-86,-80,-55,-71,-62,-69,-64,-62,0,0,0
1020,-76,-65,-75,-78,-65,-62,-63,-64,-69,-68,0,0,0
1021,-70,-66,-71,-78,-58,-68,-59,-67,-63,-100,0,0,0
1022,-65,-62,-80,-87,-65,-56,-62,-79,-67,-73,0,0,0
1023,-66,-65,-81,-75,-62,-55,-63,-61,-60,-64,0,1,0
1024,-73,-71,-73,-79,-65,-54,-60,-59,-67,-63,0,1,0
1025,-65,-60,-78,-76,-66,-61,-61,-62,-67,-71,0,1,0
1026,-72,-62,-78,-85,-64,-57,-57,-67,-65,-57,0,1,0
1027,-63,-75,-77,-74,-60,-62,-58,-61,-60,-67,0,1,0
1028,-73,-72,-83,-80,-61,-59,-53,-64,-63,-70,0,1,0
1029,-63,-65,-84,-79,-58,-64,-57,-64,-59,-81,0,1,0
1030,-100,-69,-74,-87,-61,-69,-58,-70,-62,-74,0,1,0
1031,-67,-69,-74,-74,-67,-62,-60,-81,-64,-71,0,1,0
1032,-75,-68,-76,-75,-65,-65,-58,-63,-61,-64,0,1,0
1033,-65,-74,-79,-100,-68,-65,-59,-80,-57,-62,0,1,0
1034,-66,-80,-78,-77,-64,-61,-63,-77,-62,-66,0,1,0
1035,-69,-66,-83,-81,-65,-68,-66,-70,-56,-63,0,1,0
1036,-72,-73,-78,-79,-74,-61,-59,-61,-66,-73,0,1,0
1037,-72,-75,-100,-77,-64,-62,-59,-66,-57,-62,0,1,0
1038,-76,-81,-78,-77,-63,-70,-62,-72,-57,-72,0,1,0
1039,-78,-75,-77,-100,-61,-63,-61,-62,-62,-65,0,1,0
1040,-78,-72,-73,-78,-63,-62,-57,-68,-62,-68,0,1,0
1041,-73,-77,-89,-79,-64,-63,-57,-62,-62,-64,0,1,0
1042,-81,-79,-76,-83,-75,-66,-58,-69,-58,-80,0,1,0
1043,-77,-79,-83,-74,-65,-67,-67,-62,-63,-68,0,1,0
1044,-72,-78,-79,-77,-64,-73,-60,-72,-62,-66,0,1,0
1045,-100,-78,-76,-79,-64,-83,-62,-60,-62,-70,1,0,1
1046,-74,-71,-100,-80,-64,-74,-59,-61,-61,-75,1,0,1
1047,-80,-70,-85,-75,-63,-76,-59,-61,-60,-69,1,0,1
1048,-82,-78,-79,-76,-70,-75,-62,-66,-72,-67,1,0,1
1049,-75,-72,-88,-87,-75,-72,-56,-66,-61,-68,1,0,1
1050,-74,-76,-84,-100,-68,-77,-59,-59,-65,-68,1,0,1
1051,-74,-83,-80,-87,-100,-69,-58,-61,-62,-75,1,0,1
1052,-72,-72,-77,-78,-69,-71,-57,-67,-64,-86,1,0,1
1053,-78,-70,-78,-100,-67,-70,-59,-66,-60,-70,1,0,1
1054,-79,-100,-85,-83,-65,-74,-69,-62,-79,-73,1,0,1
1055,-84,-78,-84,-100,-69,-69,-57,-69,-59,-79,1,0,1
1056,-77,-86,-76,-100,-64,-76,-61,-73,-66,-64,1,0,0
1057,-71,-76,-100,-79,-77,-75,-60,-59,-67,-64,1,0,1
1058,-77,-68,-100,-84,-69,-81,-56,-63,-67,-73,1,0,1
1059,-75,-69,-100,-77,-67,-73,-59,-64,-71,-71,1,0,1
1060,-79,-77,-100,-84,-66,-73,-53,-64,-65,-77,1,0,1
1061,-80,-76,-78,-84,-68,-100,-53,-73,-69,-79,1,0,1
1062,-100,-75,-86,-78,-71,-66,-49,-71,-79,-79,1,0,1
1063,-79,-84,-100,-81,-74,-70,-53,-61,-63,-72,1,0,1
1064,-75,-77,-100,-83,-68,-100,-53,-67,-68,-76,1,0,1
1065,-81,-77,-81,-78,-68,-73,-55,-65,-62,-69,1,0,1
1066,-77,-77,-78,-75,-73,-71,-60,-66,-73,-66,1,0,1
1067,-77,-69,-84,-87,-78,-70,-57,-66,-69,-84,1,0,0
1068,-78,-82,-100,-86,-68,-67,-59,-64,-69,-83,1,0,0
1069,-80,-69,-100,-76,-73,-64,-59,-76,-68,-69,1,0,0
1070,-74,-81,-78,-75,-73,-71,-54,-65,-66,-76,1,0,1
1071,-83,-86,-100,-83,-76,-74,-54,-63,-65,-83,1,0,1
1072,-79,-76,-100,-79,-65,-75,-53,-65,-62,-78,2,0,0
1073,-77,-74,-100,-100,-69,-69,-54,-64,-71,-68,2,0,0
1074,-72,-80,-78,-76,-68,-69,-56,-63,-72,-71,2,0,0
1075,-85,-80,-76,-77,-86,-68,-56,-64,-67,-76,2,0,0
1076,-82,-75,-76,-86,-71,-72,-54,-60,-75,-84,2,0,0
1077,-86,-75,-80,-82,-68,-76,-54,-64,-63,-66,2,0,0
1078,-76,-79,-85,-81,-63,-72,-53,-62,-64,-69,2,0,0
1079,-76,-75,-83,-83,-64,-76,-54,-62,-68,-74,2,0,0
1080,-80,-73,-83,-80,-68,-75,-70,-60,-67,-76,2,0,0
1081,-77,-73,-88,-82,-67,-79,-62,-62,-100,-72,2,0,0
1082,-83,-75,-82,-100,-75,-72,-53,-69,-71,-67,2,0,0
1083,-78,-76,-82,-81,-68,-81,-55,-61,-79,-69,2,0,0
1084,-78,-71,-80,-76,-70,-71,-58,-65,-68,-69,2,0,0
1085,-100,-69,-81,-78,-69,-70,-55,-68,-64,-76,2,0,0
1086,-83,-71,-81,-79,-68,-72,-53,-64,-66,-69,2,0,0
1087,-81,-72,-80,-79,-67,-73,-52,-64,-68,-68,2,0,0
1088,-82,-72,-80,-79,-67,-73,-52,-64,-67,-69,2,0,0
1089,-84,-71,-81,-80,-67,-72,-53,-65,-67,-70,2,0,0
1090,-100,-71,-82,-80,-68,-71,-53,-66,-66,-100,2,0,0
1091,-100,-71,-81,-79,-68,-71,-53,-66,-67,-72,2,0,0
1092,-86,-71,-81,-80,-68,-72,-54,-66,-66,-72,2,0,0
1093,-86,-71,-81,-81,-69,-72,-53,-65,-67,-71,2,0,0
1094,-87,-71,-80,-80,-68,-72,-53,-66,-67,-71,2,0,0
1095,-87,-71,-81,-80,-68,-72,-53,-65,-66,-73,2,0,0
1096,-100,-71,-80,-80,-68,-72,-53,-65,-67,-71,2,0,0
1097,-100,-71,-80,-80,-68,-71,-52,-66,-67,-72,2,0,0
1098,-86,-71,-81,-79,-68,-72,-53,-65,-67,-73,2,0,0
1099,-85,-71,-80,-80,-69,-71,-54,-66,-67,-70,2,0,0
1100,-87,-71,-82,-80,-69,-72,-53,-67,-67,-72,2,0,0
1101,-85,-71,-81,-80,-68,-72,-53,-66,-66,-72,2,0,0
1102,-85,-71,-81,-79,-68,-72,-52,-65,-67,-70,2,0,0
1103,-85,-71,-81,-79,-69,-72,-53,-67,-66,-71,2,0,0
